GeoFips,GeoName,LineCode,Description,2021,
17900,"Columbia, SC (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,119.641,
17900,"Columbia, SC (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),48214448,
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),13379440,
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,101.179,
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),16456091,
18020,"Columbus, IN (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),6067893,
18020,"Columbus, IN (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,102.075,
18020,"Columbus, IN (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),7205692,
18140,"Columbus, OH (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),127766546,
18140,"Columbus, OH (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,125.441,
18140,"Columbus, OH (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),154509800,
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),21096536,
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,99.249,
18580,"Corpus Christi, TX (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),24937471,
